Order Date,Sales
12/6/2011,2580.91
12/6/2011,148.50
12/6/2011,1610.91
12/6/2011,2080.00
12/6/2011,1794.00
12/6/2011,1431.00
12/6/2011,1455.80
12/6/2011,1069.25
12/6/2011,2339.91
12/6/2011,4128.50
12/6/2011,268.00
12/6/2011,408.59
12/6/2011,93.02
12/6/2011,757.93
12/6/2011,1782.00
12/6/2011,3775.20
12/6/2011,7279.00
12/6/2011,509.55
12/6/2011,4845.60
12/6/2011,1407.15
12/6/2011,2358.40
12/6/2011,257.40
12/6/2011,423.46
12/6/2011,2661.10
12/7/2011,1544.40
12/7/2011,414.20
12/7/2011,439.96
12/7/2011,5262.60
12/7/2011,3568.81
12/7/2011,5262.60
12/7/2011,2340.80
12/7/2011,1742.40
12/7/2011,2631.20
12/7/2011,2182.40
12/7/2011,176.00
12/7/2011,3276.75
12/7/2011,4191.20
12/7/2011,9963.00
12/8/2011,46.62
12/8/2011,3301.87
12/8/2011,72.20
12/8/2011,490.20
12/8/2011,1651.28
12/8/2011,13472.31
12/8/2011,135.66
12/8/2011,3340.87
12/8/2011,3481.55
12/8/2011,467.87
12/8/2011,1642.05
12/8/2011,599.80
12/9/2011,438.60
12/9/2011,341.72
12/9/2011,940.50
12/9/2011,562.96
12/9/2011,5676.00
12/9/2011,741.00
12/9/2011,2823.15
12/9/2011,2385.20
12/9/2011,1246.40
12/9/2011,2552.00
12/9/2011,7807.98
12/9/2011,3168.30
12/9/2011,51.30
12/9/2011,2145.93
12/9/2011,176.56
12/9/2011,190.00
12/10/2011,376.36
12/10/2011,288.52
12/10/2011,78.61
12/10/2011,1732.80
12/10/2011,2552.00
12/10/2011,44.28
12/10/2011,1348.53
12/10/2011,1696.50
12/10/2011,1929.60
12/10/2011,756.20
12/10/2011,1554.00
12/10/2011,4927.82
12/10/2011,4466.05
12/10/2011,100.80
12/10/2011,169.39
12/10/2011,1012.65
12/10/2011,1851.20
12/11/2011,49.36
12/11/2011,97.62
12/11/2011,17789.35
12/11/2011,2049.55
12/11/2011,2035.50
12/11/2011,1104.45
12/11/2011,2274.15
12/11/2011,2790.00
12/11/2011,122.93
12/11/2011,2159.20
12/11/2011,2951.20
12/11/2011,2285.40
12/11/2011,3800.30
12/11/2011,4491.00
12/11/2011,1656.00
12/11/2011,159.60
12/11/2011,6784.10
12/11/2011,256.56
12/11/2011,8673.00
12/12/2011,266.66
12/12/2011,1368.00
12/12/2011,1036.00
12/12/2011,4241.90
12/12/2011,288.76
12/12/2011,1312.00
12/12/2011,396.00
12/12/2011,240.21
12/12/2011,1610.91
12/12/2011,404.18
12/12/2011,17442.00
12/12/2011,228.47
12/13/2011,4836.00
12/13/2011,2152.80
12/13/2011,3777.55
12/13/2011,1232.40
12/13/2011,5561.60
12/13/2011,2070.00
